"","word","name"
"166","135",0.000109337464554921
"167","135cth",1.79581574930412e-05
"168","136",9.78271553070826e-05
"169","137",0.000100246878530774
"170","1378",2.88192743306724e-05
"171","138",0.000108504473641596
"172","139",0.000101726808319157
"173","1390",1.71016178130451e-05
"174","13th",1.50190157289884e-05
"175","14",0.00011790306112489
"176","14,000",1.5408083080384e-05
"177","14.5",1.79581574930412e-05
"178","140",9.62408850312864e-05
"179","140,000",1.52800061120024e-05
"180","141",0.000105272467403595
"181","142",9.73466956987103e-05
"182","143",9.04101819400075e-05
"183","143o",1.64427709357581e-05
"184","144",9.54565150510803e-05
"185","1449th",1.66242747660133e-05
"186","145",9.63851735644977e-05
"187","146",9.51063544748902e-05
"188","147",9.71160016942415e-05
"189","148",9.24101022235355e-05
"190","149",9.03268919310978e-05
